Label,Kernel,Launches,Total_ms,Avg_ms,Min_ms,Max_ms,Block,Grid,Regs,Shmem_static_B,Shmem_dyn_B,Lmem_B,ThOcc_pct,Limiter,pct_GPU
10y/1%,cuco::insert_if,10,0.5114,0.05114,0.03347,0.07949,128,5,37,48,0,0,75.0,shmem,0.00
10y/1%,cuco::init,10,0.0297,0.00297,0.00285,0.00336,256,507,24,0,0,0,100.0,thr,0.00
10y/1%,cub::ForEach,10,0.0140,0.00140,0.00128,0.00150,256,2,16,0,0,0,100.0,thr,0.00
10y/3%,Stage1,10,12959.7956,1295.97956,858.74833,1603.35833,16,66,110,0,0,0,28.1,reg,82.27
10y/3%,Stage3,10,1511.9297,151.19297,115.55216,193.29770,16,66,118,0,0,0,26.6,reg,9.60
10y/3%,cuco::insert,10,871.0273,87.10273,66.66913,102.45248,128,18137,36,48,0,0,75.0,shmem,5.53
10y/3%,cuco::init,169061,204.0409,0.00121,0.00109,0.00173,256,1,16,0,0,0,100.0,thr,1.30
10y/3%,Stage2,10,187.4109,18.74109,9.05611,24.76866,16,66,118,0,0,0,26.6,reg,1.19
10y/3%,Stage4,10,13.3231,1.33231,1.16458,1.56435,16,66,107,0,0,0,28.1,reg,0.08
10y/3%,ExtractSizes,20,3.0178,0.15089,0.00554,0.41338,256,66,32,0,0,0,100.0,thr,0.02
10y/3%,cuco::insert_if,10,1.4889,0.14889,0.07770,0.22637,128,16,37,48,0,0,75.0,shmem,0.01
10y/3%,cuco::init,10,0.0314,0.00314,0.00285,0.00333,256,567,24,0,0,0,100.0,thr,0.00
10y/3%,cub::ForEach,10,0.0141,0.00141,0.00128,0.00154,256,4,16,0,0,0,100.0,thr,0.00
10y/5%,Stage1,23,35435.0997,1540.65651,926.42600,2169.64164,16,53,110,0,0,0,28.1,reg,85.15
10y/5%,Stage3,23,4259.2109,185.18308,110.62604,290.00932,16,53,118,0,0,0,26.6,reg,10.23
10y/5%,cuco::insert,10,1004.5772,100.45772,76.18290,120.15733,128,20286,36,48,0,0,75.0,shmem,2.41
10y/5%,Stage2,23,512.1320,22.26661,7.77435,36.92815,16,53,118,0,0,0,26.6,reg,1.23
10y/5%,cuco::init,309138,372.6958,0.00121,0.00109,0.00163,256,1,16,0,0,0,100.0,thr,0.90
10y/5%,Stage4,23,24.3692,1.05953,0.65987,1.29751,16,53,107,0,0,0,28.1,reg,0.06
10y/5%,ExtractSizes,46,4.8358,0.10513,0.00307,0.32666,256,53,32,0,0,0,100.0,thr,0.01
10y/5%,cuco::insert_if,10,2.3993,0.23993,0.10474,0.52826,128,29,37,48,0,0,75.0,shmem,0.01
